# From https://iopscience.iop.org/article/10.1086/521599/fulltext/
# Uncertainties (standard deviation) for the 6 light curves are all between
# 0.0014 and 0.0019m probably safe to set them all to ~0.002 for my fit


Title: The Transit Light Curve Project. VII. 
       The Not-So-Bloated Exoplanet HAT-P-1b  
Authors: Winn J.N., Holman M.J., Bakos G.A., Pal A., Johnson J.A., 
         Williams P.K.G., Shporer A., Mazeh T., Fernandez J., Latham D.W.,
	 Gillon M.
Table: Photometry of HAT-P-1
================================================================================
Byte-by-byte Description of file: datafile1.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---   Tele   Telescope used (1)
   6-  6 A1     ---   Filt   Filter used
   8- 20 F13.5  d     HJD    Heliocentric Julian Date 
  22- 27 F6.4   ---   RFlux  Relative flux 
--------------------------------------------------------------------------------
Note (1):
    FLWO = The 1.2m telescope at the Fred L. Whipple Observatory on Mt. Hopkins,
           Arizona.
    Lick = The Nickel 1m telescope at Lick Observatory on Mt. Hamilton, 
           California.
    Wise = The 1m telescope at Wise Observatory, in Israel.
--------------------------------------------------------------------------------
FLWO z 2453997.69528 0.9988 
FLWO z 2453997.69560 1.0006 
FLWO z 2453997.69591 1.0031 
FLWO z 2453997.69621 1.0009 
FLWO z 2453997.69652 1.0026 
FLWO z 2453997.69682 1.0039 
FLWO z 2453997.69714 0.9992 
FLWO z 2453997.69745 1.0001 
FLWO z 2453997.69776 1.0018 
FLWO z 2453997.69806 0.9983 
FLWO z 2453997.69836 0.9971 
FLWO z 2453997.69868 1.0038 
FLWO z 2453997.69899 0.9965 
FLWO z 2453997.69930 1.0026 
FLWO z 2453997.69961 1.0013 
FLWO z 2453997.69991 0.9994 
FLWO z 2453997.70023 1.0006 
FLWO z 2453997.70054 0.9998 
FLWO z 2453997.70084 1.0015 
FLWO z 2453997.70115 1.0005 
FLWO z 2453997.70147 1.0018 
FLWO z 2453997.70177 1.0024 
FLWO z 2453997.70208 1.0014 
FLWO z 2453997.70238 0.9995 
FLWO z 2453997.70269 0.9990 
FLWO z 2453997.70299 0.9999 
FLWO z 2453997.70331 0.9994 
FLWO z 2453997.70361 1.0016 
FLWO z 2453997.70392 1.0000 
FLWO z 2453997.70422 1.0010 
FLWO z 2453997.70453 0.9995 
FLWO z 2453997.70483 1.0005 
FLWO z 2453997.70516 1.0014 
FLWO z 2453997.70546 1.0008 
FLWO z 2453997.70577 0.9994 
FLWO z 2453997.70607 0.9980 
FLWO z 2453997.70638 0.9997 
FLWO z 2453997.70669 1.0008 
FLWO z 2453997.70701 1.0023 
FLWO z 2453997.70730 1.0001 
FLWO z 2453997.70762 0.9988 
FLWO z 2453997.70794 0.9989 
FLWO z 2453997.70824 0.9987 
FLWO z 2453997.70855 0.9997 
FLWO z 2453997.70885 0.9997 
FLWO z 2453997.70917 1.0001 
FLWO z 2453997.70947 1.0005 
FLWO z 2453997.70980 1.0020 
FLWO z 2453997.71011 1.0009 
FLWO z 2453997.71042 1.0039 
FLWO z 2453997.71072 1.0009 
FLWO z 2453997.71104 0.9998 
FLWO z 2453997.71134 0.9985 
FLWO z 2453997.71165 0.9993 
FLWO z 2453997.71195 1.0019 
FLWO z 2453997.71228 1.0030 
FLWO z 2453997.71258 1.0003 
FLWO z 2453997.71289 0.9974 
FLWO z 2453997.71320 0.9999 
FLWO z 2453997.71350 1.0000 
FLWO z 2453997.71380 1.0001 
FLWO z 2453997.71412 1.0016 
FLWO z 2453997.71443 1.0007 
FLWO z 2453997.71473 0.9978 
FLWO z 2453997.71505 1.0002 
FLWO z 2453997.71534 0.9996 
FLWO z 2453997.71567 0.9992 
FLWO z 2453997.71597 1.0020 
FLWO z 2453997.71628 0.9993 
FLWO z 2453997.71660 1.0007 
FLWO z 2453997.71691 0.9990 
FLWO z 2453997.71722 0.9997 
FLWO z 2453997.71752 1.0006 
FLWO z 2453997.71784 1.0011 
FLWO z 2453997.71814 1.0031 
FLWO z 2453997.71846 1.0016 
FLWO z 2453997.71876 1.0022 
FLWO z 2453997.71907 1.0013 
FLWO z 2453997.71937 0.9997 
FLWO z 2453997.71968 1.0004 
FLWO z 2453997.72000 0.9985 
FLWO z 2453997.72031 0.9989 
FLWO z 2453997.72061 1.0015 
FLWO z 2453997.72092 0.9987 
FLWO z 2453997.72122 1.0015 
FLWO z 2453997.72153 0.9991 
FLWO z 2453997.72184 1.0000 
FLWO z 2453997.72215 1.0004 
FLWO z 2453997.72247 0.9960 
FLWO z 2453997.72277 1.0001 
FLWO z 2453997.72307 0.9978 
FLWO z 2453997.72339 1.0004 
FLWO z 2453997.72369 0.9979 
FLWO z 2453997.72400 0.9982 
FLWO z 2453997.72430 0.9990 
FLWO z 2453997.72461 0.9988 
FLWO z 2453997.72491 1.0012 
FLWO z 2453997.72524 1.0000 
FLWO z 2453997.72554 0.9993 
FLWO z 2453997.72585 1.0002 
FLWO z 2453997.72615 0.9991 
FLWO z 2453997.72647 1.0011 
FLWO z 2453997.72677 1.0006 
