# from https://www.aanda.org/articles/aa/full_html/2011/07/aa16208-10/aa16208-10.html
# Note: deleted the WASP survey photometry, only kept follow-up
2455253.89885 1.000466  0.001972 FTN       
2455253.89984 0.999225  0.001969 FTN       
2455253.90081 1.000313  0.001962 FTN       
2455253.90179 1.000444  0.001963 FTN       
2455253.90278 1.000869  0.001964 FTN       
2455253.90377 1.001156  0.001964 FTN       
2455253.90474 0.999334  0.001979 FTN       
2455253.90571 1.000349  0.001935 FTN       
2455253.90671 0.999466  0.001942 FTN       
2455253.90769 0.999146  0.001942 FTN       
2455253.90866 1.001239  0.001927 FTN       
2455253.90963 1.001121  0.001918 FTN       
2455253.91061 0.998765  0.001932 FTN       
2455253.91158 0.998564  0.001913 FTN       
2455253.91257 1.000886  0.001890 FTN       
2455253.91355 1.000372  0.001926 FTN       
2455253.91452 1.000161  0.001925 FTN       
2455253.91549 0.998139  0.001894 FTN       
2455253.91647 1.000681  0.001853 FTN       
2455253.91746 0.999393  0.001896 FTN       
2455253.91843 0.999321  0.001914 FTN       
2455253.91941 0.998817  0.001895 FTN       
2455253.92039 0.999242  0.001914 FTN       
2455253.92137 0.999252  0.001896 FTN       
2455253.92235 0.999696  0.001906 FTN       
2455253.92334 0.999928  0.001897 FTN       
2455253.92431 1.002946  0.001931 FTN       
2455253.92531 1.001378  0.001881 FTN       
2455253.92629 1.002431  0.001930 FTN       
2455253.92725 0.999907  0.001888 FTN       
2455253.92823 1.003109  0.001912 FTN       
2455253.92922 1.000887  0.001871 FTN       
2455253.93021 1.002623  0.001902 FTN       
2455253.93119 1.001268  0.001891 FTN       
2455253.93218 1.001380  0.001909 FTN       
2455253.93315 1.000644  0.001880 FTN       
2455253.93415 0.998473  0.001894 FTN       
2455253.93513 0.998861  0.001886 FTN       
2455253.93610 0.998017  0.001894 FTN       
2455253.93709 0.998892  0.001904 FTN       
2455253.93808 0.999924  0.001897 FTN       
2455253.93907 1.000737  0.001908 FTN       
2455253.94004 0.998768  0.001877 FTN       
2455253.94101 0.999165  0.001905 FTN       
2455253.94201 0.997741  0.001884 FTN       
2455253.94298 0.997523  0.001893 FTN       
2455253.94395 0.999179  0.001914 FTN       
2455253.94494 0.997498  0.001883 FTN       
2455253.94592 0.998346  0.001922 FTN       
2455253.94690 0.996299  0.001918 FTN       
2455253.94789 0.998386  0.001931 FTN       
2455253.94887 0.995027  0.001915 FTN       
2455253.94987 0.995771  0.001908 FTN       
2455253.95085 0.994920  0.001888 FTN       
2455253.95183 0.994546  0.001896 FTN       
2455253.95282 0.993843  0.001886 FTN       
2455253.95381 0.992728  0.001874 FTN       
2455253.95480 0.993361  0.001894 FTN       
2455253.95578 0.989126  0.001868 FTN       
2455253.95676 0.989410  0.001877 FTN       
2455253.95776 0.989348  0.001877 FTN       
2455253.95874 0.988839  0.001876 FTN       
2455253.95973 0.986566  0.001881 FTN       
2455253.96071 0.988087  0.001857 FTN       
2455253.96171 0.987351  0.001864 FTN       
2455253.96269 0.987471  0.001883 FTN       
2455253.96367 0.986927  0.001863 FTN       
2455253.96466 0.986302  0.001862 FTN       
2455253.96565 0.986721  0.001890 FTN       
2455253.96664 0.984843  0.001850 FTN       
2455253.96762 0.986497  0.001854 FTN       
2455253.96861 0.985382  0.001833 FTN       
2455253.96960 0.985510  0.001861 FTN       
2455253.97058 0.982421  0.001864 FTN       
2455253.97157 0.983980  0.001876 FTN       
2455253.97255 0.983185  0.001820 FTN       
2455253.97354 0.984011  0.001876 FTN       
2455253.97452 0.984892  0.001878 FTN       
2455253.97550 0.984739  0.001868 FTN       
2455253.97650 0.983834  0.001867 FTN       
2455253.97747 0.984588  0.001823 FTN       
2455253.97847 0.985034  0.001869 FTN       
2455253.97945 0.985426  0.001833 FTN       
2455253.98045 0.985836  0.001861 FTN       
2455253.98143 0.985347  0.001851 FTN       
2455253.98240 0.984287  0.001868 FTN       
2455253.98340 0.984008  0.001867 FTN       
2455253.98438 0.983257  0.001857 FTN       
2455253.98537 0.987106  0.001827 FTN       
2455253.98635 0.983215  0.001820 FTN       
2455253.98734 0.984639  0.001832 FTN       
2455253.98833 0.982802  0.001856 FTN       
2455253.98931 0.983890  0.001849 FTN       
2455253.99030 0.984019  0.001849 FTN       
2455253.99127 0.983015  0.001829 FTN       
2455253.99226 0.983741  0.001848 FTN       
2455253.99324 0.983797  0.001848 FTN       
2455253.99423 0.983989  0.001858 FTN       
2455253.99520 0.983211  0.001847 FTN       
2455253.99620 0.978939  0.001812 FTN       
2455253.99718 0.985662  0.001816 FTN       
2455253.99817 0.982971  0.001865 FTN       
2455253.99915 0.985203  0.001824 FTN       
2455254.00015 0.986802  0.001827 FTN       
2455254.00112 0.982216  0.001809 FTN       
2455254.00210 0.985679  0.001861 FTN       
2455254.00307 0.983550  0.001812 FTN       
2455254.00406 0.983905  0.001831 FTN       
2455254.00504 0.986247  0.001817 FTN       
2455254.00603 0.985060  0.001833 FTN       
2455254.00701 0.985488  0.001815 FTN       
