# From https://iopscience.iop.org/article/10.3847/1538-3881/aae1f5
#Title: Radial velocities from the N2K Project: 6 new cold gas giant planets 
#       orbiting HD-55696, HD-98736, HD-148164, HD-203473, and HD-211810 
#Authors: Ment K., Fischer D.A., Bakos G., Howard A.W., Isaacson H. 
#Table: Radial velocities for N2K stars
#================================================================================
#Byte-by-byte Description of file: ajaae1f5t2_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1- 10 A10    --      Name   Name of the star
#  12- 21 F10.4  d       JD     Julian Date, JD-2440000
#  23- 40 F18.11 m/s     RVel   Radial Velocity
#  42- 52 F11.7  m/s   e_RVel   Radial Velocity Error
#  54- 59 F6.4   --      SHK    []? Ca II H&K line emission indicator
#--------------------------------------------------------------------------------
HAT-P-1    13927.0680    -50.47872600000   1.6072200 0.1560 
HAT-P-1    13927.9660    -45.50140500000   1.6925500 0.1580 
HAT-P-1    13931.0370    -24.21769000000   1.7252500 0.1570 
HAT-P-1    13931.9410    -56.60524600000   2.0868700 0.1580 
HAT-P-1    13932.0360    -58.05137200000   1.8710400 0.1570 
HAT-P-1    13933.0000    -12.58929300000   1.8408800 0.1620 
HAT-P-1    13933.9250     55.46823000000   2.3458000 0.1580 
HAT-P-1    13934.9040     38.85112500000   3.9560300 0.1580 
HAT-P-1    13934.9070     35.67310700000   2.1653600 0.1580 
HAT-P-1    13960.9950     59.87423100000   1.8786200 0.1580 
HAT-P-1    13961.9950      5.27592180000   1.8889900 0.1570 
HAT-P-1    13963.0900    -57.05884700000   2.1064500 0.1580 
HAT-P-1    14287.9380     10.70330900000   4.4519500 0.1520 
HAT-P-1    14287.9450     12.36237700000   2.9367300 0.1520 
HAT-P-1    14287.9520     13.40574000000   3.2211200 0.1610 
HAT-P-1    14287.9600     18.82259000000   2.8352200 0.1610 
HAT-P-1    14287.9660      2.07656100000   2.7131900 0.1610 
HAT-P-1    14287.9730      6.07502030000   2.8294300 0.1610 
HAT-P-1    14287.9780     -5.08532270000   4.5436900 0.1610 
HAT-P-1    14287.9820     10.40762400000   3.6059700 0.1610 
HAT-P-1    14287.9860     13.09062100000   3.3045700 0.1610 
HAT-P-1    14287.9910     21.01383500000   3.5278000 0.1610 
HAT-P-1    14287.9940     16.28145500000   3.6706500 0.1610 
HAT-P-1    14287.9990     15.33807000000   4.6080900 0.1610 
HAT-P-1    14288.0030     17.57515900000   4.7810300 0.1610 
HAT-P-1    14288.0070     22.36250700000   3.8771700 0.1610 
HAT-P-1    14288.0110     19.84777600000   3.9008700 0.1610 
HAT-P-1    14288.0150     12.27354500000   3.9074600 0.1610 
HAT-P-1    14288.0180     16.81225800000   3.7207100 0.1610 
HAT-P-1    14288.0220     23.38557900000   3.6635800 0.1610 
HAT-P-1    14288.0600    -13.48931200000   2.5814100 0.1560 
HAT-P-1    14288.0640    -30.55140900000   2.8483000 0.1560 
HAT-P-1    14288.0680    -27.49812500000   2.9999600 0.1560 
HAT-P-1    14288.0710    -19.82666200000   2.7480100 0.1560 
HAT-P-1    14288.0740    -12.73598800000   2.6191600 0.1560 
HAT-P-1    14288.0770    -14.57867900000   2.6157000 0.1560 
HAT-P-1    14288.0800    -16.89960400000   2.4657700 0.1560 
HAT-P-1    14288.0830    -26.97309300000   2.5264300 0.1560 
HAT-P-1    14288.0860    -10.76137300000   2.4312200 0.1560 
HAT-P-1    14288.0890     -3.45045910000   2.6123100 0.1560 
HAT-P-1    14288.0920     -2.49778350000   2.5046400 0.1560 
HAT-P-1    14288.0950     -3.95065040000   2.5672600 0.1560 
HAT-P-1    14288.0980      4.37853910000   2.5313200 0.1560 
HAT-P-1    14288.1010     -2.20552260000   2.6168100 0.1560 
HAT-P-1    14288.1050      0.93110502000   2.5487700 0.1560 
HAT-P-1    14288.1080     -3.99313720000   2.4419000 0.1560 
HAT-P-1    14288.1180     -1.33438690000   2.5117600 0.1560 
HAT-P-1    14288.1220     -0.67116393000   2.5505300 0.1560 
HAT-P-1    14288.1310     -8.22377350000   2.6373000 0.1560 
HAT-P-1    14288.1350     -7.63468850000   3.4782500 0.1560 
HAT-P-1    14345.7780     18.60759900000   2.1497300 0.1590 
HAT-P-1    14345.7820     19.31709600000   2.5013400 0.1590 
HAT-P-1    14345.7860     11.36968800000   2.4925600 0.1590 
HAT-P-1    14345.8260      9.43346990000   2.3568000 0.1590 
HAT-P-1    14345.9590     12.10721000000   2.6183300 0.1590 
HAT-P-1    14346.0200      6.90814770000   2.7238400 0.1590 
HAT-P-1    14346.0230      7.76440490000   2.6264800 0.1590 
HAT-P-1    14346.0260      4.42541160000   2.6852600 0.1590 
HAT-P-1    14346.0360     13.70882500000   2.5825800 0.1590 
HAT-P-1    14346.0380     22.23314100000   2.5847700 0.1590 
HAT-P-1    14346.0410     14.41361500000   2.7866800 0.1590 
HAT-P-1    14346.0440     19.21778800000   2.5190900 0.1590 
HAT-P-1    14346.0470     16.31509000000   2.7899900 0.1590 
HAT-P-1    14346.0500     11.48953900000   2.6763400 0.1590 
HAT-P-1    14346.0520     34.23061300000   2.5428000 0.1580 
HAT-P-1    14346.0550     16.61598800000   2.5007300 0.1580 
HAT-P-1    14346.0580     19.52530900000   2.4918300 0.1580 
HAT-P-1    14346.0670      6.86491960000   2.7453200 0.1580 
HAT-P-1    14346.0700      8.37690440000   2.5863200 0.1580 
HAT-P-1    14346.0730     14.73297300000   2.5052500 0.1580 
HAT-P-1    14346.0760     -0.77704827000   2.6593100 0.1580 
HAT-P-1    14346.0790      1.46003030000   2.8277500 0.1580 
HAT-P-1    14346.0820      3.63561890000   2.5093000 0.1580 
HAT-P-1    14346.0850     -9.57453420000   2.5855500 0.1580 
HAT-P-1    14346.0880     -9.41234080000   2.5889600 0.1580 
HAT-P-1    14346.0910     -7.39492110000   2.8806800 0.1580 
HAT-P-1    14346.0940     -9.69650140000   2.6031200 0.1580 
HAT-P-1    14346.0970    -17.20231300000   2.6648500 0.1580 
HAT-P-1    14346.1000    -22.89235200000   2.7028500 0.1580 
HAT-P-1    14346.1030    -15.53055500000   2.7256500 0.1580 
HAT-P-1    14346.1070    -19.91251600000   2.5512300 0.1580 
HAT-P-1    14346.1100    -24.43984500000   2.7236000 0.1580 
HAT-P-1    14346.1130    -24.33609300000   2.5870200 0.1580 
HAT-P-1    14346.1160    -30.41523100000   2.8366600 0.1580 
HAT-P-1    14346.1190    -20.30197200000   2.6313800 0.1580 
HAT-P-1    14346.1230    -25.82263400000   2.6269700 0.1580 
HAT-P-1    14346.1260    -25.17414500000   2.6067000 0.1580 
HAT-P-1    14346.1410     -5.51825030000   2.8215900 0.1580 
HAT-P-1    14808.7870     48.73486200000   1.9729500 0.1610 
HAT-P-1    15376.0860     53.58431600000   2.0867000 0.1590 
HAT-P-1    16173.0770    -50.80435700000   2.6374200 0.1560 
HAT-P-12   14187.0270     47.51042100000   3.1311000 0.2580 
HAT-P-12   14187.9860    -11.51881900000   2.7235800 0.2640 
HAT-P-12   14188.0990    -14.76918600000   2.6196400 0.2610 
HAT-P-12   14188.1500    -21.60415300000   3.0355100 0.2610 
HAT-P-12   14188.9880    -30.13836800000   2.3473900 0.2550 
HAT-P-12   14189.0690    -34.10819100000   2.5598500 0.2570 
HAT-P-12   14189.1190    -18.61293400000   2.8334000 0.2570 
HAT-P-12   14216.9380     -9.99605770000   2.7872500 0.2530 
HAT-P-12   14247.8590     33.17213600000   3.2847100 0.2620 
HAT-P-12   14250.8620     23.53230300000   3.2199700 0.2530 
HAT-P-12   14251.9110      9.18422940000   3.0917500 0.2590 
HAT-P-12   14548.0270    -21.87577000000   2.6499900 0.3000 
HAT-P-12   14548.9210    -23.44888100000   2.7101800 0.2550 
HAT-P-12   14602.7760    -21.87625600000   2.2425800 0.2500 
HAT-P-12   14603.0180    -32.25362100000   2.4052500 0.2510 
HAT-P-12   14603.7620     -8.14491040000   2.2574600 0.2400 
