# from https://academic.oup.com/mnras/article/423/2/1503/963121#16522608
#Radial velocity data for WASP-31 obtained using the CORALIE high-precision echelle spectrograph.
#HJD (-245 0000)  texp (s)  RV (km s-1)  σRV (km s-1) 
4835.809755  1800  -0.20260  0.02945 
4837.773728  1800  -0.08457  0.03163 
4840.765776  1800  -0.07974  0.03752 
4880.767231  1800  -0.20651  0.03722 
4939.627676  1800  -0.07528  0.03471 
4941.567460  1800  -0.19372  0.02721 
4942.654757  1800  -0.12324  0.02598 
4943.610624  1800  -0.07939  0.03435 
4944.555415  1800  -0.16578  0.02620 
4945.544750  1800  -0.16158  0.03220 
4946.591778  1800  -0.04422  0.03441 
4947.555094  1800  -0.14075  0.02656 
4948.588069  1800  -0.18274  0.02861 
4950.597039  1800  -0.08667  0.03009 
4951.608264  1800  -0.22821  0.03366 
4971.548671  1800  -0.02806  0.07763 
4973.489951  1800  -0.09189  0.03084 
4974.608541  1800  -0.02130  0.03225 
4975.511060  1800  -0.12628  0.03381 
4983.595539  1800  -0.10028  0.04415 
4984.467744  1800  -0.06112  0.02895 
4985.530406  1800  -0.18886  0.03032 
4994.508045  1800  -0.09735  0.03237 
4994.531307  1800  -0.09484  0.03469 
4995.463376  1800  -0.12246  0.03547 
4995.486741  1800  -0.20999  0.03214 
4996.459605  1800  -0.19034  0.03472 
4996.482971  1800  -0.10984  0.03117 
4999.536757  1800  -0.21980  0.05522 
4999.560099  1800  -0.15670  0.06560 
5006.521354  1800  -0.18493  0.04217 
5012.492297  1800  -0.09667  0.03739 
5013.497045  1800  -0.19082  0.04459 
5029.465780  1800  -0.11660  0.05041 
5168.846768  1800  -0.15389  0.01852 
5203.782854  2700  -0.20152  0.02084 
5290.715577  2700  -0.09351  0.01809 
5291.699859  2700  -0.12273  0.01821 
5293.696819  2700  -0.07455  0.01987 
5294.733907  2700  -0.09785  0.01925 
5296.704921  2700  -0.13168  0.01772 
5298.693406  2700  -0.18210  0.01718 
5300.589643  2700  -0.06706  0.02250 
5326.628560  2700  -0.13831  0.01945 
5327.604475  2700  -0.08093  0.02737 
5328.608442  2700  -0.09912  0.01913 
5334.544675  2700  -0.05571  0.02129 
