# from https://academic.oup.com/mnras/article/423/2/1503/963121#16522608
#Radial velocity data for WASP-31 obtained using the HARPS high-precision echelle spectrograph.
#HJD (-245 0000)  texp (s)  RV (km s-1)  σRV (km s-1) 
5298.496133  1200  -0.15638  0.00896 
5298.749145  1200  -0.17218  0.00931 
5299.504441  1200  -0.17141  0.01114 
5299.716991  1200  -0.29541  0.04800 
5300.509357  1200  -0.07910  0.01138 
5300.742948  1200  -0.08587  0.01161 
5301.582822  1200  -0.11516  0.00934 
5301.597544  1200  -0.11250  0.01003 
5301.612960  1200  -0.12527  0.00984 
5301.627126  900  -0.10841  0.01418 
5301.638028  900  -0.09394  0.01141 
5301.648803  900  -0.06309  0.01227 
5301.659393  900  -0.08776  0.01100 
5301.670307  900  -0.11321  0.01136 
5301.681082  900  -0.13542  0.01119 
5301.691973  900  -0.16717  0.01218 
5301.702354  900  -0.19579  0.01297 
5301.713349  900  -0.16796  0.01407 
5301.723522  900  -0.16142  0.01884 
5301.734934  900  -0.14695  0.01771 
5301.750477  1200  -0.13378  0.01244 
5301.764794  1200  -0.14088  0.01586 
5301.780360  1200  -0.15031  0.01738 
5305.613529  1200  -0.18166  0.01096 
5307.584640  1200  -0.06475  0.00809 
