# from https://www.aanda.org/articles/aa/full_html/2017/05/aa29720-16/aa29720-16.html
#
# instrument: HARPS-N
#
#BJD (TDB) 	Texp 	RV 	Error 	FWHM 	Bis. span 	Air mass 	Flag
#       	[s] 	[kms-1] 	[kms-1] 	[kms-1] 	[kms-1] 		
2456363.415882 	450 	-3.2736 	0.0111 	7.17 	0.086 	1.59 	o
2456363.421396 	450 	-3.3145 	0.0120 	7.15 	0.076 	1.55 	o
2456363.426923 	450 	-3.3185 	0.0115 	7.16 	0.027 	1.51 	o
2456363.432437 	450 	-3.3278 	0.0096 	7.18 	0.015 	1.48 	o
2456363.437951 	450 	-3.3683 	0.0093 	7.14 	0.060 	1.45 	o
2456363.443460 	450 	-3.3820 	0.0091 	7.16 	0.056 	1.42 	o
2456363.448974 	450 	-3.4072 	0.0092 	7.25 	0.046 	1.40 	o
2456363.454484 	450 	-3.4373 	0.0093 	7.16 	0.056 	1.38 	o
2456363.459988 	450 	-3.4560 	0.0088 	7.17 	0.057 	1.36 	o
#2456363.465502 	450 	-3.4526 	0.0095 	7.16 	0.102 	1.34 	i
#2456363.471016 	450 	-3.5011 	0.0099 	7.12 	0.034 	1.33 	i
#2456363.476525 	450 	-3.4876 	0.0096 	7.16 	0.079 	1.31 	i
#2456363.482039 	450 	-3.5192 	0.0096 	7.20 	0.057 	1.30 	i
#2456363.487549 	450 	-3.5517 	0.0094 	7.19 	0.057 	1.29 	i
#2456363.493054 	450 	-3.5978 	0.0093 	7.17 	0.080 	1.29 	i
#2456363.498567 	450 	-3.6221 	0.0102 	7.14 	0.024 	1.28 	i
#2456363.504081 	450 	-3.6596 	0.0091 	7.15 	0.071 	1.28 	i
#2456363.509590 	450 	-3.6773 	0.0086 	7.14 	0.023 	1.28 	i
#2456363.515104 	450 	-3.6747 	0.0090 	7.19 	0.060 	1.28 	i
2456363.520614 	450 	-3.6976 	0.0097 	7.23 	0.005 	1.28 	o
2456363.526123 	450 	-3.7218 	0.0103 	7.18 	0.032 	1.28 	o
2456363.531624 	450 	-3.7571 	0.0109 	7.22 	0.025 	1.29 	o
2456363.537128 	450 	-3.7764 	0.0113 	7.17 	0.043 	1.30 	o
2456363.542642 	450 	-3.7869 	0.0104 	7.13 	0.062 	1.30 	o
2456363.548156 	450 	-3.8216 	0.0113 	7.21 	0.050 	1.31 	o
2456363.553670 	450 	-3.8339 	0.0132 	7.18 	0.076 	1.33 	o
2456363.559179 	450 	-3.8659 	0.0117 	7.16 	0.073 	1.34 	o
2456363.564693 	450 	-3.8770 	0.0154 	7.22 	0.106 	1.36 	o
2456363.571207 	450 	-3.8913 	0.0144 	7.26 	0.083 	1.38 	o
2456363.576712 	450 	-3.9012 	0.0121 	7.18 	0.068 	1.40 	o
2456363.582230 	450 	-3.9561 	0.0163 	7.17 	0.082 	1.43 	o
2456363.587740 	450 	-3.9589 	0.0127 	7.15 	0.048 	1.46 	o
#2456376.517002 	900 	-3.6434 	0.0058 	7.27 	0.034 	1.33 	i
2456377.589657 	900 	-4.1247 	0.0088 	7.40 	-0.093 	1.81 	o
2456381.558437 	450 	-4.0933 	0.0088 	7.19 	0.072 	1.59 	o
2456381.563762 	450 	-4.1130 	0.0089 	7.18 	0.030 	1.64 	o
2456382.512779 	900 	-3.9513 	0.0052 	7.20 	0.041 	1.37 	o
2457050.557137 	900 	-3.2261 	0.0192 	7.18 	0.101 	1.43 	o
2457116.447829 	900 	-3.2458 	0.0045 	7.11 	0.075 	1.28 	o
2457145.424807 	900 	-4.1267 	0.0154 	7.02 	0.052 	1.38 	o 
