# from https://www.aanda.org/articles/aa/full_html/2011/11/aa17081-11/aa17081-11.html
#BJD-2400000 	RV 	σRV 	Bisector
#(UTC) 	(km s-1) 	(km s-1) 	(km s-1)
55205.7594 	-3.058 	0.013 	0.052
55325.6232 	-4.041 	0.021 	0.055
55327.5745 	-3.430 	0.026 	0.050
55328.5441 	-3.067 	0.014 	0.033
55334.5030 	-3.821 	0.018 	0.023
55359.4824 	-3.026 	0.022 	-0.098
55362.5333 	-3.522 	0.031 	0.050
55364.4596 	-3.262 	0.017 	0.110
55375.4741 	-3.830 	0.018 	0.048
55376.4911 	-3.036 	0.045 	0.097
55378.4837 	-3.994 	0.018 	-0.035
55379.5246 	-3.904 	0.021 	-0.003
55380.4904 	-3.282 	0.021 	0.017
55391.4617 	-3.869 	0.028 	0.036
55392.4602 	-4.086 	0.021 	0.072
