# From https://www.aanda.org/articles/aa/full_html/2014/12/aa24373-14/aa24373-14.html
#BJDTT – 2450000.0 	RV (km s-1) 	σRV (km s-1)
3760.83575 	9.774490 	0.001110
3761.84061 	9.807520 	0.001110
3762.82805 	9.782330 	0.000900
3763.84203 	9.780590 	0.000890
3765.80411 	9.775230 	0.000940
3785.76121 	9.809860 	0.000930
3788.77940 	9.800960 	0.000900
4122.84306 	9.776460 	0.000910
4135.83242 	9.781010 	0.000920
4140.82196 	9.788840 	0.001030
4142.83025 	9.808690 	0.000910
4166.75093 	9.806690 	0.001140
4172.74297 	9.782380 	0.001000
4194.70900 	9.777700 	0.001230
4197.67745 	9.791090 	0.001090
4199.67093 	9.774910 	0.000970
4202.66419 	9.777130 	0.000950
4228.58285 	9.778490 	0.001040
4230.48575 	9.797180 	0.001170
4230.49514 	9.796850 	0.001280
4230.50134 	9.794220 	0.001800
4230.50510 	9.793220 	0.001760
4230.50900 	9.796050 	0.001610
4230.51279 	9.795530 	0.001550
4230.51650 	9.798750 	0.001690
4230.52037 	9.796760 	0.001680
4230.52431 	9.794440 	0.002520
4230.52814 	9.795850 	0.001970
4230.53201 	9.796930 	0.001700
4230.53564 	9.794730 	0.001540
4230.53947 	9.791850 	0.001510
4230.54345 	9.793580 	0.001500
4230.54718 	9.792180 	0.001510
4230.55108 	9.793940 	0.001490
4230.55499 	9.792370 	0.001530
4230.55882 	9.793830 	0.001410
4230.56257 	9.793770 	0.001370
4230.56648 	9.793990 	0.001440
4230.57016 	9.795420 	0.001450
4230.57410 	9.793690 	0.001290
4230.57783 	9.795000 	0.001290
4230.58159 	9.794400 	0.001470
4230.58552 	9.793470 	0.001320
4230.58943 	9.794290 	0.001310
4230.59315 	9.793000 	0.001440
4230.59713 	9.792140 	0.001390
4230.60078 	9.790910 	0.001620
4230.60464 	9.793860 	0.001570
4230.60854 	9.793070 	0.001760
4230.61237 	9.792890 	0.001780
4230.61624 	9.792660 	0.001990
4230.61995 	9.792060 	0.001930
4230.62385 	9.797390 	0.001890
4230.62773 	9.790550 	0.001540
4230.63151 	9.791650 	0.001500
4230.63534 	9.794210 	0.001380
4230.63951 	9.792870 	0.001370
4230.64327 	9.791080 	0.001340
4230.64710 	9.792050 	0.001360
4230.65100 	9.791110 	0.001320
4230.65472 	9.791060 	0.001360
4230.65863 	9.790150 	0.001400
4234.55338 	9.787160 	0.001180
4253.54525 	9.805840 	0.001060
4254.51133 	9.785900 	0.001180
4255.51652 	9.776930 	0.001160
4259.48729 	9.794650 	0.000860
4291.48864 	9.786670 	0.001770
4292.47496 	9.776630 	0.000970
4293.45165 	9.807350 	0.000840
4294.45008 	9.780610 	0.001020
4296.47679 	9.797980 	0.001300
4297.45381 	9.773530 	0.000970
4478.85281 	9.800580 	0.000950
4478.87832 	9.800520 	0.000940
4479.86544 	9.774800 	0.001060
4479.87612 	9.776220 	0.001020
4480.85907 	9.802150 	0.000970
4480.87048 	9.803650 	0.001080
4481.86319 	9.787750 	0.000980
4481.87376 	9.787880 	0.000940
4482.85401 	9.779690 	0.001060
4482.86479 	9.777000 	0.001040
4483.85232 	9.810150 	0.001000
4483.86342 	9.810410 	0.000940
4485.85751 	9.791110 	0.001000
4485.86862 	9.791410 	0.001000
4486.85432 	9.797240 	0.001050
4486.86446 	9.797920 	0.001130
4487.85213 	9.776690 	0.001200
4487.86293 	9.776470 	0.001060
4488.85500 	9.808410 	0.001100
4522.83874 	9.790160 	0.001230
4523.78988 	9.801300 	0.001070
4524.79013 	9.774390 	0.000900
4525.81324 	9.805200 	0.001110
4526.76364 	9.789100 	0.000900
4527.75196 	9.775780 	0.000960
4528.71729 	9.809030 	0.000930
4529.81240 	9.781870 	0.000990
4530.77746 	9.788820 	0.000970
4548.70327 	9.775930 	0.000880
4549.69758 	9.807770 	0.001150
4551.71918 	9.780560 	0.000950
4553.69816 	9.777170 	0.000800
4557.65838 	9.809100 	0.001110
4562.64495 	9.797950 	0.000990
4564.64742 	9.777990 	0.001220
4567.56615 	9.779660 	0.000820
4567.73507 	9.787220 	0.000860
4568.57079 	9.807880 	0.000890
4568.69152 	9.805640 	0.000940
4569.62883 	9.775720 	0.000860
4570.63780 	9.799210 	0.000920
4571.60962 	9.792680 	0.001020
4593.55210 	9.774620 	0.000960
4610.47902 	9.809060 	0.001120
4610.56287 	9.812700 	0.001080
4611.55737 	9.784050 	0.001030
4616.47724 	9.796650 	0.001410
4832.87687 	9.807660 	0.001190
4848.87131 	9.805790 	0.001020
4854.84706 	9.782360 	0.001050
4878.78979 	9.778840 	0.000940
4879.79209 	9.790510 	0.001380
4880.79826 	9.795860 	0.001690
4880.81312 	9.797910 	0.001240
4881.78795 	9.775030 	0.000990
4882.78434 	9.806450 	0.001100
4883.79460 	9.787100 	0.000920
4884.77339 	9.777030 	0.001400
4885.79300 	9.807700 	0.000920
4886.77008 	9.777430 	0.001080
4913.68867 	9.777280 	0.000940
4914.70871 	9.813120 	0.001000
4915.68788 	9.783630 	0.001060
4916.69305 	9.786200 	0.000950
4917.68034 	9.805840 	0.001020
4918.72808 	9.777910 	0.000990
4919.66311 	9.801600 	0.001030
4920.70757 	9.793540 	0.000960
4932.64335 	9.788420 	0.001300
4933.63867 	9.799470 	0.001070
4934.62726 	9.776640 	0.001010
4936.63242 	9.791100 	0.001500
4937.61224 	9.780310 	0.001200
4938.62352 	9.810220 	0.000960
4939.64008 	9.781560 	0.001430
4940.61510 	9.793920 	0.001370
4941.62296 	9.799100 	0.000980
4946.60518 	9.807600 	0.000890
4949.58281 	9.797480 	0.000980
4950.58399 	9.775750 	0.000940
4953.58922 	9.784570 	0.001040
4954.58379 	9.808130 	0.000960
4955.58240 	9.779020 	0.000990
4956.58363 	9.801020 	0.001210
4990.49882 	9.778470 	0.001120
4991.51076 	9.810730 	0.001030
