# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   32.9393762605     0.0013549721     0.0011183856
a_p1                   72.5999405697     6.1421820618     7.6582687694
t0_p1                  2457725.5835842686     0.0624934342     0.0749105643
b_p1                   0.6421558299     0.0704688434     0.0777093987
p_p1                   0.0557037064     0.0022448333     0.0022823098
q1_TESS                0.4143038650     0.3156517957     0.2601290106
q2_TESS                0.4385132401     0.3274465478     0.2843125009
ecc_p1                 0.1705920245     0.0975890513     0.0841768936
rho                    6671.3454325970     1840.8961575913     1896.3512832102
a_p1                   74.8900215905     0.9315471054     0.9042047685
K_p1                   3.2800048457     0.4727081810     0.4731535613
mu_CARMENES-45         -0.3866678911     0.4840079683     0.4771438391
sigma_w_CARMENES-45     2.8845775105     0.5001658341     0.4494005054
mu_HARPS-46            -0.4193070541     0.4948825499     0.5045927980
sigma_w_HARPS-46       2.8613649093     0.5793470529     0.5693381944
