# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   4.8992825469     0.0000004946     0.0000003384
t0_p1                  2455109.3351280666     0.0000000005     0.0000000000
b_p1                   0.0053926639     0.0000002008     0.0000000711
sesinomega_p1          0.5421440564     0.0000020125     0.0000010901
secosomega_p1          0.4231961095     0.0000008769     0.0000022762
ecc_p1                 0.4730138490     0.0000042132     0.0000019478
omega_p1               52.0245647815     0.0000423379     0.0002147824
q1_TESS                0.2197390145     0.0000001790     0.0000010277
q2_TESS                0.2040833906     0.0000023294     0.0000001048
p_p1_TESS              0.0545076379     0.0000000594     0.0000000114
a_p1                   nan     nan     nan
K_p1                   91.8165749248     0.0004669919     0.0018414051
mu_HIRES-1             -111.1604466848     0.0001218247     0.0001585175
sigma_w_HIRES-1        75.2376966157     0.0002776654     0.0001012965
mu_HIRES-10            -76.0541859249     0.0003555211     0.0005943697
sigma_w_HIRES-10       79.1917815570     0.0000193852     0.0003056329
