# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   9.4893054273     0.0000130850     0.0000221535
a_p1                   22.9815037185     1.3232533824     1.5583415789
t0_p1                  2456523.1247730409     0.0075165746     0.0038202289
b_p1                   0.3926166577     0.0842614062     0.0906745732
p_p1                   0.0293629754     0.0005044558     0.0006917261
q1_TESS                0.2844733196     0.4117878800     0.1363069531
q2_TESS                0.4625376045     0.3209299671     0.2526833763
ecc_p1                 0.0365647690     0.0353539658     0.0234284886
rho                    2549.8682550510     466.3122824987     484.3131079060
a_p1                   23.7649106440     0.9010889185     0.9265404476
K_p1                   2.9353885960     0.1541509686     0.1509641045
mu_APF-54              0.0913582794     0.1976904797     0.2097473813
sigma_w_APF-54         1.6501276617     0.2783841796     0.2840957310
mu_HIRES-54            -0.0544522719     0.1327946579     0.1332669601
sigma_w_HIRES-54       3.0227964517     0.1043065469     0.1010474775
