# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   2.7347658096     0.0000003445     0.0000003359
t0_p1                  2458827.4575049682     0.0000668475     0.0000743736
b_p1                   0.6090417976     0.0057250122     0.0064124379
sesinomega_p1          0.2775753631     0.0642045419     0.0773985860
secosomega_p1          0.0197448602     0.0552449327     0.0628165926
ecc_p1                 0.0808498040     0.0384577692     0.0353640583
omega_p1               86.1455813415     13.4218412563     12.0469802015
q1_TESS                0.1364898787     0.0173046898     0.0148248365
q2_TESS                0.5215806612     0.0940987090     0.0911436871
p_p1_TESS              0.0900874322     0.0001957598     0.0002202286
a_p1                   5.1190035298     0.1830261360     0.1932235013
K_p1                   141.9069577114     16.2251659811     16.3666447273
mu_FLWO-51             -12.5421295896     11.0538590009     11.3714107660
sigma_w_FLWO-51        0.3413922159     18.9374707636     0.3335885587
