# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   4.1193901383     0.0000106656     0.0000113670
a_p1                   11.8685816889     0.2169444398     0.2379366150
t0_p1                  2455342.9911647229     0.0122204702     0.0114613706
b_p1                   0.4446592658     0.0051508722     0.0049419584
sesinomega_p1          -0.0928639116     0.0691410429     0.0480932176
secosomega_p1          -0.2944619072     0.1360735242     0.0924654489
ecc_p1                 0.0987551460     0.0670178548     0.0711967333
omega_p1               174.6428716895     4.0616556590     25.2270043841
rho                    1863.7264498082     104.0827288702     109.8603830077
K_p1                   35.8452705132     4.1587574190     3.9257845870
mu_CORALIE-22          4.1390751332     4.3271625623     4.0568511100
sigma_w_CORALIE-22     0.2369929026     6.0662580559     0.2267860059
mu_SOPHIE-22           3.5214114674     5.8440282385     5.2285632707
sigma_w_SOPHIE-22      17.6475539846     13.6749162391     17.6328509619
mflux_NIRCam-filt4-det1     0.0020245405     0.0126600272     0.0179288238
sigma_w_NIRCam-filt4-det1     33.8922310670     33.8644602039     32.7955800936
q1_NIRCam-filt4-det1     0.4357689851     0.2906828319     0.2626149148
q2_NIRCam-filt4-det1     0.4320658502     0.3044097815     0.2781988957
p_p1_NIRCam-filt4-det1     0.2406840185     0.0393779728     0.0557040762
GP_sigma_NIRCam-filt4-det1     0.0227432265     0.0208388415     0.0091025026
GP_rho_NIRCam-filt4-det1     0.0820159993     0.0455324896     0.0244924350
mflux_NIRCam-filt5-det2     0.0070863677     0.0184232295     0.0150389982
sigma_w_NIRCam-filt5-det2     221.4056224638     12.6773236955     12.0993686123
q1_NIRCam-filt5-det2     0.4798920903     0.2925491142     0.2817373535
q2_NIRCam-filt5-det2     0.6944361624     0.1838878213     0.2089795379
p_p1_NIRCam-filt5-det2     0.1749327620     0.0795643017     0.0835979183
GP_sigma_NIRCam-filt5-det2     0.0251793232     0.0376796122     0.0114338549
GP_rho_NIRCam-filt5-det2     0.0848875203     0.0729789814     0.0288934322
mflux_NIRISS-filt8-det5     0.0072970596     0.0112425598     0.0090500817
sigma_w_NIRISS-filt8-det5     106.3045586410     4.5197054913     4.4296177993
q1_NIRISS-filt8-det5     0.6492993932     0.2245408613     0.2691650147
q2_NIRISS-filt8-det5     0.6068106029     0.2372740109     0.2539571349
p_p1_NIRISS-filt8-det5     0.1355054771     0.0857834789     0.0847444954
GP_sigma_NIRISS-filt8-det5     0.0177430216     0.0116647069     0.0058273154
GP_rho_NIRISS-filt8-det5     0.0730275367     0.0298861342     0.0174535965
mflux_NIRISS-filt8-det6     0.0050331502     0.0182906718     0.0231762293
sigma_w_NIRISS-filt8-det6     188.7680897532     8.1546689622     8.2773185377
q1_NIRISS-filt8-det6     0.5797600175     0.2691221058     0.3093146317
q2_NIRISS-filt8-det6     0.4143064827     0.2973423417     0.2580264235
p_p1_NIRISS-filt8-det6     0.1251104217     0.0855138879     0.0761960131
GP_sigma_NIRISS-filt8-det6     0.0322652567     0.0467444163     0.0152975031
GP_rho_NIRISS-filt8-det6     0.1173988516     0.0976333579     0.0417086049
mflux_NIRSpec-filt6-det3     0.0142333799     0.0008082984     0.0008186852
sigma_w_NIRSpec-filt6-det3     9270.4082610941     256.8544516275     254.3020582953
q1_NIRSpec-filt6-det3     0.4518682494     0.3332508592     0.2798473074
q2_NIRSpec-filt6-det3     0.3828417958     0.2857233795     0.2494517816
p_p1_NIRSpec-filt6-det3     0.1828550580     0.0764166861     0.0910047832
theta0_NIRSpec-filt6-det3     -0.0116842023     0.0010899726     0.0010931811
theta1_NIRSpec-filt6-det3     0.0095425215     0.0016634049     0.0016750489
mflux_NIRSpec-filt6-det4     0.0135430532     0.0007773823     0.0007451879
sigma_w_NIRSpec-filt6-det4     9122.2652141925     282.5986546827     250.7774632866
q1_NIRSpec-filt6-det4     0.7371893984     0.1708577719     0.2502385397
q2_NIRSpec-filt6-det4     0.4822433696     0.2538934302     0.2654940112
p_p1_NIRSpec-filt6-det4     0.1121990643     0.0878889490     0.0712632090
theta0_NIRSpec-filt6-det4     -0.0101822701     0.0010557254     0.0010541060
theta1_NIRSpec-filt6-det4     0.0080704368     0.0014412481     0.0014884269
mflux_NIRSpec-filt7-det3     0.0012695003     0.0000107360     0.0000100861
sigma_w_NIRSpec-filt7-det3     249.0177772983     6.8701054820     6.2055455170
q1_NIRSpec-filt7-det3     0.0486057719     0.0087531601     0.0091722420
q2_NIRSpec-filt7-det3     0.1051712891     0.0749149156     0.0614191223
p_p1_NIRSpec-filt7-det3     0.1463738896     0.0001783826     0.0001563921
theta0_NIRSpec-filt7-det3     -0.0004410536     0.0000125206     0.0000122266
mflux_TESS             0.0038781248     0.0042086903     0.0044586725
sigma_w_TESS           6.3897297951     51.7886005665     5.7653464796
q1_TESS                0.4884232280     0.2963311855     0.2822536801
q2_TESS                0.2908670434     0.2252128548     0.1862818632
p_p1_TESS              0.1597453521     0.0826306101     0.0814433724
GP_sigma_TESS          0.0130950236     0.0031827462     0.0023029130
GP_rho_TESS            0.0506564191     0.0100088274     0.0076413073
