# Parameter Name         Median           Upper 68 CI      Lower 68 CI 
P_p1                   3.6623929161     0.0000005104     0.0000004988
a_p1                   7.0903351836     0.1112679533     0.1213323226
t0_p1                  2459196.6438094680     0.0000744839     0.0000739605
b_p1                   0.5338017809     0.0116685839     0.0129176441
p_p1                   0.1042070447     0.0003494180     0.0003622540
q1_TESS                0.1719844763     0.0369907412     0.0308891937
q2_TESS                0.3157501540     0.1140826277     0.1015466801
ecc_p1                 0.0290227430     0.0182293742     0.0161726126
rho                    502.7160250319     24.0403201355     25.3692012996
K_p1                   86.9992723248     6.2457815784     6.7125344653
mu_CORALIE-31          -6.0955300592     5.1126948636     5.0525661245
sigma_w_CORALIE-31     0.2124526158     4.7881968010     0.2042101863
mflux_TRAPPIST-31      0.0009589943     0.0001101969     0.0001120015
sigma_w_TRAPPIST-31     454.8815971941     306.3813951056     448.7542762092
q1_TRAPPIST-31         0.0455157048     0.0298566470     0.0214363211
q2_TRAPPIST-31         0.5771903882     0.2673652453     0.3295303516
GP_sigma_TRAPPIST-31     2.2415945069     8873.9683806524     2.2413713575
GP_rho_TRAPPIST-31     0.6789432214     71.3942091491     0.6688112275
